Country Name,Code,Income Group,WB Region,WHO Region ,Expected number of clubfoot cases - regional incidence ,population total 2022,"Birth rate, crude per 1000 2021",Expected births,Expected number of clubfoot cases - 1.24,Expected number of clubfoot cases - regional 
Syrian Arab Republic,SYR,Low income,Middle East & North Africa,Eastern Mediterranean,1.18,22125249,20.111,444960.8826,551.7514945,525.0538415
Tajikistan,TJK,Lower middle income,Europe & Central Asia,Eastern Mediterranean,1.18,9952787,26.749,266227.0995,330.1216033,314.1479774
Tanzania,TZA,Lower middle income,Sub-Saharan Africa,Africa,1.31,65497748,36.21,2371673.455,2940.875084,3106.892226
Thailand,THA,Upper middle income,East Asia & Pacific,South-East Asia,1.8,71697030,8.999,645201.573,800.0499505,1161.362831
Timor-Leste,TLS,Lower middle income,East Asia & Pacific,South-East Asia,1.8,1341296,24.944,33457.28742,41.48703641,60.22311736
Togo,TGO,Low income,Sub-Saharan Africa,Africa,1.31,8848699,31.856,281884.1553,349.5363526,369.2682435
Tonga,TON,Upper middle income,East Asia & Pacific,Western Pacific,0.86,106858,23.045,2462.54261,3.053552836,2.117786645
Trinidad and Tobago,TTO,High income,Latin America & Caribbean,Americas,1.14,1531044,11.687,17893.31123,22.18770592,20.3983748
Tunisia,TUN,Lower middle income,Middle East & North Africa,Eastern Mediterranean,1.18,12356117,16.093,198846.9909,246.5702687,234.6394492
Turkiye,TUR,Upper middle income,Europe & Central Asia,Europe,1.11,84979913,14.678,1247335.163,1546.695602,1384.542031
Turkmenistan,TKM,Upper middle income,Europe & Central Asia,Europe,1.11,6430770,21.592,138853.1858,172.1779504,154.1270363
Turks and Caicos Islands,TCA,High income,Latin America & Caribbean,Americas,1.14,45703,12.476,570.190628,0.707036379,0.650017316
Tuvalu,TUV,Upper middle income,East Asia & Pacific,Western Pacific,0.86,11312,23.484,265.651008,0.32940725,0.228459867
Uganda,UGA,Low income,Sub-Saharan Africa,Africa,1.31,47249585,36.795,1738548.48,2155.800115,2277.498509
Ukraine,UKR,Lower middle income,Europe & Central Asia,Europe,1.11,38000000,7.3,277400,343.976,307.914
